n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
3658,18.25682071006684,2.8542164743763476,0.75,15.001985175173804,49.480266673857884,0.04639650129986407,0.728623775830635,0.8639361091197172,0.6290907199983131,0.8048268265249287,0.5063090877725248,46.94223696704988,1199.3738832011118,1346.093629443088,950.0,100.9112546269993,5,False,standard,zf40_Q0.75_P15.0_tz0.070,40,15,0.07,78.92549848556519,True
5063,18.25682071006684,3.2831051540816016,0.75,20.00105282240821,15.95377456179981,0.14389768691781488,0.7048608190505764,0.8348712203004538,0.5882811508490072,0.8290308423850218,0.48770321804758254,62.42006364103418,1199.9997016389407,1340.4026969204697,950.0,92.75012457360448,7,True,converged,zf40_Q0.75_P20.0_tz0.030,40,20,0.03,93.65561747550964,True
5074,18.25682071006684,3.195279198609387,0.75,20.002168400691552,26.530063446099692,0.08653244503977134,0.7048811570960669,0.8347782471332561,0.5882241660614705,0.8273598573900037,0.4866730621459721,62.54912601882237,1199.5149792971276,1332.900353519911,950.0,92.54207705626105,4,False,standard,zf40_Q0.75_P20.0_tz0.050,40,20,0.05,90.36069679260254,True
5085,18.25682071006684,3.12998533024266,0.75,20.005042298640333,37.215091712055575,0.06168764206773641,0.7046748898143611,0.8345011184548784,0.5878728817881965,0.826182100527043,0.48569005231865825,62.43240993186344,1199.9999999999998,1336.0336047748779,950.0,92.64940650871353,10,True,converged,zf40_Q0.75_P20.0_tz0.070,40,20,0.07,109.72775316238403,True
6767,18.25682071006684,3.5208683177947435,0.75,25.01956252907178,12.686087259028342,0.18096290922305244,0.6861817665230472,0.7906319351638647,0.5428747363596319,0.8408036640443192,0.4564510674482723,78.532938338214,1198.6088168557517,1329.7977254546338,950.0,87.67528092387782,14,True,converged,zf40_Q0.75_P25.0_tz0.030,40,25,0.03,112.52542901039124,True
6774,18.25682071006684,3.593673800113572,0.75,25.030545658374425,21.130857960052534,0.10864259564809269,0.6861585052056003,0.7903144567515163,0.5426722554362223,0.8406170573331556,0.4561795544611438,78.57877795705649,1198.5738599395108,1327.223920125474,950.0,87.42026236056316,15,True,converged,zf40_Q0.75_P25.0_tz0.050,40,25,0.05,124.27521562576294,True
6778,18.25682071006684,3.571975856734227,0.75,25.002132780439418,29.797433891208883,0.07704392483705015,0.6861818781945487,0.7902717787476816,0.5426287419346443,0.839234619718963,0.45539282588610047,78.02588435728732,1200.0000000000077,1324.667500779356,950.0,87.67642460166334,9,True,converged,zf40_Q0.75_P25.0_tz0.070,40,25,0.07,88.75849390029907,True
8869,18.25682071006684,3.903102748240076,0.75,30.000208100476,10.644791020316761,0.21566522561783028,0.6695499460818124,0.7317487765245516,0.4916147563025087,0.8494452535922118,0.4175998213370579,93.62255070905287,1199.999999908514,1324.414794667597,950.0,84.5369700066535,11,True,converged,zf40_Q0.75_P30.0_tz0.030,40,30,0.03,91.71284532546997,True
8897,18.25682071006684,3.9317046209448194,0.75,30.00104029297151,17.700376976520918,0.1296984386319268,0.6692789148409888,0.7310239962708306,0.4909721329134365,0.8479037827493259,0.41629712872180763,93.81365971169065,1199.5143770325092,1313.853004528237,950.0,83.77270223414382,6,False,standard,zf40_Q0.75_P30.0_tz0.050,40,30,0.05,92.3560380935669,True
8866,18.25682071006684,3.9970507790880485,0.75,30.000137233060222,24.83053821831386,0.0924551548930203,0.6695688321342101,0.7319466417793289,0.49177424817800985,0.8494550901776177,0.4177401383330815,93.62233166494218,1200.0000000000002,1321.0623289978969,950.0,84.54085542401022,13,True,converged,zf40_Q0.75_P30.0_tz0.070,40,30,0.07,111.01624584197998,True
